N,P,K,temperature,humidity,ph,rainfall
73.15461407806855,33.20016149799808,30.098586560480364,22.23507241877032,89.06687544385316,6.864738128641354,144.61245354645985
30.650674305352783,60.55901135680239,23.171353140949233,21.807780872432403,15.961322894857815,4.722833238831478,108.98614408347596
16.624799994838195,130.9957374481888,210.16769549478053,23.261138748718388,87.8836151296317,6.799826401524042,103.00642974230993
37.81966828676062,45.20619727789743,21.44173365556773,32.32047309247054,86.81008886486437,6.340460591107676,37.46789587723634
44.528441974048576,55.52487386530483,71.99907506411841,16.89971727542882,24.157185953142154,8.347098869869546,86.91360002869862
42.510547308269,56.945846047015735,37.169433349617336,35.303278803621765,93.99758912754437,6.226272806549226,244.62572760885683
31.25656597851065,13.147526588526093,37.527932334627806,34.40985986959083,54.3067589135389,6.611369482779512,80.06317205383556
38.91450903527555,36.214968125298206,7.405771130151246,33.375771046999276,79.12710084964854,6.719312423393627,76.55095418627306
23.67041447492768,46.55045243405547,17.01517998071673,32.10830088343207,61.47273168083645,5.884747306321052,62.36936178116716
64.0,35.0,23.0,23.02038334,61.89472002,5.680361037999999,63.03843397
122.54453818979918,56.55111306809816,14.666151829178762,25.89270452831362,79.32208038691026,7.541804380721491,91.58303325525263
16.32822856679017,25.187359909696124,40.39848734551148,23.048296249871353,89.7835474187482,7.136524757641688,94.13737859723273
67.03521219764303,39.36889344357355,16.254357409405273,20.157399094078837,58.509989261450606,6.194388287457545,104.2146061896689
11.546733308697089,140.13172089138737,189.78944549842504,18.26523808374199,89.2188719230752,5.786025912551757,77.94733228687993
76.94577318618956,48.88617491236816,21.31457309723767,24.45175190408755,60.0535995334794,6.047201009787544,101.42084330706842
80.0,43.0,43.0,23.78756036,74.36794079,6.014572075,172.64426540000005
25.0,71.0,24.0,28.49538735,60.44848407,7.187721817999999,74.91559514
82.70771880787497,22.50142983288595,30.55342948862189,23.94730141682553,66.06489674073238,6.60250597154296,173.67562782944617
101.9864008333163,25.7995353094116,41.032618351916604,22.73094414310078,86.81525600203673,5.753064271180054,56.972606781738804
30.0,20.0,38.0,22.59890174,93.16343942,7.058222596,110.0932899
84.03332611273137,16.303187228430737,61.528566765388305,23.78871940337047,95.39373453832445,5.94168702979484,20.71264304519464
61.0,51.0,51.0,39.30050027,94.16193416,6.574677594,120.9512466
25.93136771663678,54.86483755109721,18.783986681281984,22.65397364022914,63.4152370929655,6.198096915643271,42.98490172544119
